============================================================
TYPE     | TICKER     | SHARES | PRICE   

BUY      | STOCK369   |     40 | $170.69  

BUY      | STOCK15    |     50 | $136.29  

BUY      | STOCK213   |     90 | $137.89  

BUY      | STOCK39    |     60 | $185.52  

BUY      | STOCK1019  |     30 | $189.99  

SELL     | STOCK458   |     10 | $195.33  

SELL     | STOCK685   |     20 | $186.14  

BUY      | STOCK291   |    100 | $122.77  

SELL     | STOCK866   |     30 | $173.23  

BUY      | STOCK981   |     60 | $119.64  

SELL     | STOCK542   |     40 | $139.58  

SELL     | STOCK771   |     80 | $187.40  

BUY      | STOCK141   |     10 | $186.01  

SELL     | STOCK128   |     30 | $114.98  

BUY      | STOCK695   |     40 | $161.91  

SELL     | STOCK137   |     80 | $171.97  

BUY      | STOCK192   |     50 | $123.33  

SELL     | STOCK576   |     10 | $114.39  

BUY      | STOCK614   |     50 | $120.11  

BUY      | STOCK635   |     40 | $197.34  

SELL     | STOCK119   |     70 | $141.90  

SELL     | STOCK592   |     80 | $155.93  

BUY      | STOCK959   |     20 | $103.36  

SELL     | STOCK636   |     10 | $126.51  

BUY      | STOCK959   |     60 | $130.19  

BUY      | STOCK699   |     20 | $109.58  

SELL     | STOCK24    |     90 | $197.99  

BUY      | STOCK265   |     70 | $184.03  

SELL     | STOCK487   |     60 | $149.44  

SELL     | STOCK385   |     70 | $141.22  

BUY      | STOCK596   |    100 | $172.21  

SELL     | STOCK958   |     10 | $124.91  

BUY      | STOCK248   |     90 | $106.32  

BUY      | STOCK125   |     20 | $106.57  

BUY      | STOCK421   |     40 | $187.79  

SELL     | STOCK875   |     50 | $150.62  

BUY      | STOCK224   |     60 | $142.69  

SELL     | STOCK378   |     10 | $195.53  

BUY      | STOCK247   |     20 | $166.71  

SELL     | STOCK983   |     20 | $195.39  

SELL     | STOCK646   |     50 | $149.78  

SELL     | STOCK909   |     30 | $195.64  

BUY      | STOCK8     |     60 | $198.26  

BUY      | STOCK252   |    100 | $103.11  

SELL     | STOCK65    |     20 | $132.10  

BUY      | STOCK618   |    100 | $114.69  

BUY      | STOCK666   |     70 | $151.72  

BUY      | STOCK955   |     80 | $184.64  

BUY      | STOCK812   |     80 | $162.15  

BUY      | STOCK446   |    100 | $194.89  

SELL     | STOCK421   |     40 | $108.32  

TRADE    | STOCK421   |     40 | $108.32   | Buy: 0 | Sell: 0

SELL     | STOCK1022  |     20 | $116.65  

SELL     | STOCK437   |     60 | $186.27  

BUY      | STOCK507   |     40 | $165.80  

BUY      | STOCK71    |    100 | $134.44  

BUY      | STOCK459   |     60 | $113.19  

BUY      | STOCK207   |     30 | $192.52  

BUY      | STOCK281   |     40 | $119.37  

SELL     | STOCK24    |     40 | $142.37  

BUY      | STOCK108   |     40 | $136.55  

BUY      | STOCK361   |     70 | $162.67  

BUY      | STOCK250   |     40 | $148.93  

BUY      | STOCK387   |    100 | $152.84  

BUY      | STOCK54    |    100 | $169.58  

BUY      | STOCK630   |     40 | $122.70  

SELL     | STOCK497   |     30 | $174.18  

SELL     | STOCK93    |     10 | $191.48  

BUY      | STOCK236   |     40 | $126.75  

BUY      | STOCK729   |     10 | $119.07  

BUY      | STOCK704   |     10 | $176.08  

BUY      | STOCK608   |     10 | $147.43  

SELL     | STOCK1006  |     60 | $180.42  

BUY      | STOCK787   |     70 | $133.98  

SELL     | STOCK30    |     10 | $189.67  

BUY      | STOCK473   |     20 | $151.84  

SELL     | STOCK642   |     90 | $101.95  

SELL     | STOCK541   |     40 | $151.83  

SELL     | STOCK70    |     60 | $148.49  

BUY      | STOCK325   |     10 | $188.70  

BUY      | STOCK826   |     20 | $118.31  

SELL     | STOCK841   |     20 | $120.45  

BUY      | STOCK929   |    100 | $142.17  

BUY      | STOCK444   |     50 | $177.05  

SELL     | STOCK159   |     40 | $131.33  

SELL     | STOCK717   |     70 | $145.36  

SELL     | STOCK443   |     80 | $137.93  

BUY      | STOCK457   |     80 | $136.12  

BUY      | STOCK10    |     30 | $134.97  

BUY      | STOCK372   |     80 | $139.48  

SELL     | STOCK541   |     90 | $128.63  

BUY      | STOCK309   |     60 | $165.71  

SELL     | STOCK39    |     40 | $125.49  

TRADE    | STOCK39    |     40 | $125.49   | Buy: 20 | Sell: 0

BUY      | STOCK917   |     20 | $131.51  

BUY      | STOCK624   |     70 | $102.95  

SELL     | STOCK978   |     70 | $140.46  

SELL     | STOCK810   |     80 | $131.45  

SELL     | STOCK42    |     20 | $114.15  

TRADE    | STOCK42    |     10 | $114.15   | Buy: 0 | Sell: 10

SELL     | STOCK887   |     90 | $188.51  

BUY      | STOCK504   |     70 | $130.69  

SELL     | STOCK266   |     10 | $193.92  

SELL     | STOCK539   |     30 | $187.96  

BUY      | STOCK8     |     10 | $196.01  

SELL     | STOCK162   |     30 | $123.05  

SELL     | STOCK615   |     80 | $102.73  

BUY      | STOCK114   |    100 | $128.27  

BUY      | STOCK259   |     20 | $191.20  

SELL     | STOCK403   |     20 | $121.78  

BUY      | STOCK196   |     90 | $142.20  

BUY      | STOCK275   |     90 | $171.05  

BUY      | STOCK692   |     90 | $142.16  

SELL     | STOCK208   |     20 | $165.80  

BUY      | STOCK211   |     50 | $118.64  

BUY      | STOCK490   |     90 | $178.94  

BUY      | STOCK909   |     90 | $132.55  

SELL     | STOCK263   |     80 | $197.96  

SELL     | STOCK865   |     60 | $133.47  

BUY      | STOCK329   |     30 | $110.75  

BUY      | STOCK357   |     80 | $195.32  

SELL     | STOCK803   |     40 | $171.18  

SELL     | STOCK300   |     40 | $128.35  

SELL     | STOCK31    |     90 | $177.08  

SELL     | STOCK423   |     10 | $108.59  

SELL     | STOCK815   |     50 | $170.98  

BUY      | STOCK408   |     20 | $163.95  

BUY      | STOCK854   |    100 | $120.43  

SELL     | STOCK460   |    100 | $102.91  

BUY      | STOCK346   |     60 | $175.97  

SELL     | STOCK921   |     50 | $100.50  

BUY      | STOCK332   |     80 | $110.98  

SELL     | STOCK145   |     30 | $160.01  

SELL     | STOCK344   |     80 | $166.58  

BUY      | STOCK939   |     20 | $126.94  

BUY      | STOCK184   |     60 | $199.32  

SELL     | STOCK253   |     70 | $134.70  

BUY      | STOCK200   |     80 | $127.87  

BUY      | STOCK204   |     80 | $136.01  

BUY      | STOCK958   |     50 | $113.28  

BUY      | STOCK790   |     60 | $105.67  

BUY      | STOCK680   |     10 | $174.97  

SELL     | STOCK408   |    100 | $164.98  

SELL     | STOCK17    |     50 | $130.30  

BUY      | STOCK674   |    100 | $156.84  

BUY      | STOCK465   |     80 | $158.90  

SELL     | STOCK426   |     40 | $115.79  

TRADE    | STOCK426   |     40 | $115.79   | Buy: 50 | Sell: 0

BUY      | STOCK32    |     10 | $196.46  

SELL     | STOCK706   |     10 | $108.46  

SELL     | STOCK947   |     70 | $186.91  

BUY      | STOCK567   |     40 | $134.86  

BUY      | STOCK330   |     30 | $100.74  

BUY      | STOCK390   |     80 | $156.71  

BUY      | STOCK571   |     50 | $114.59  

SELL     | STOCK912   |     10 | $170.35  

BUY      | STOCK986   |     30 | $147.28  

SELL     | STOCK189   |     50 | $142.04  

SELL     | STOCK194   |     20 | $137.00  

BUY      | STOCK1009  |     70 | $134.93  

SELL     | STOCK841   |     90 | $199.15  

SELL     | STOCK351   |     70 | $149.75  

SELL     | STOCK852   |     70 | $122.97  

TRADE    | STOCK852   |     70 | $122.97   | Buy: 10 | Sell: 0

BUY      | STOCK599   |     90 | $183.55  

SELL     | STOCK982   |     70 | $195.09  

SELL     | STOCK191   |     20 | $151.56  

BUY      | STOCK601   |     30 | $100.58  

SELL     | STOCK667   |     90 | $169.48  

BUY      | STOCK516   |     20 | $165.40  

BUY      | STOCK694   |     30 | $123.82  

BUY      | STOCK486   |     90 | $112.28  

SELL     | STOCK560   |     80 | $167.42  

BUY      | STOCK208   |     90 | $194.60  

TRADE    | STOCK208   |     20 | $165.80   | Buy: 70 | Sell: 0

SELL     | STOCK350   |     40 | $127.01  

SELL     | STOCK88    |     70 | $115.82  

BUY      | STOCK790   |     30 | $149.61  

BUY      | STOCK172   |     80 | $197.23  

SELL     | STOCK705   |     50 | $102.20  

SELL     | STOCK755   |     30 | $111.49  

BUY      | STOCK813   |     90 | $162.71  

SELL     | STOCK116   |     80 | $170.38  

BUY      | STOCK552   |     50 | $132.27  

BUY      | STOCK338   |     90 | $127.35  

SELL     | STOCK595   |    100 | $155.48  

BUY      | STOCK157   |     90 | $140.72  

BUY      | STOCK524   |     40 | $130.93  

BUY      | STOCK320   |     90 | $192.48  

SELL     | STOCK897   |     50 | $105.73  

SELL     | STOCK972   |     90 | $137.25  

SELL     | STOCK219   |     90 | $158.43  

SELL     | STOCK132   |     30 | $173.02  

SELL     | STOCK604   |     10 | $109.18  

BUY      | STOCK739   |     10 | $117.59  

SELL     | STOCK468   |    100 | $121.44  

SELL     | STOCK150   |    100 | $137.96  

SELL     | STOCK716   |     90 | $112.77  

BUY      | STOCK841   |     30 | $140.44  

TRADE    | STOCK841   |     20 | $120.45   | Buy: 10 | Sell: 0

BUY      | STOCK21    |     80 | $194.72  

BUY      | STOCK492   |     40 | $160.22  

SELL     | STOCK234   |     80 | $133.25  

BUY      | STOCK770   |     10 | $166.88  

BUY      | STOCK232   |     10 | $104.24  

BUY      | STOCK206   |    100 | $144.13  

BUY      | STOCK308   |     90 | $187.39  

BUY      | STOCK62    |     90 | $174.59  

SELL     | STOCK733   |     40 | $135.23  

SELL     | STOCK255   |     80 | $103.32  

SELL     | STOCK60    |     80 | $194.01  

BUY      | STOCK710   |     30 | $103.98  

BUY      | STOCK498   |     80 | $174.66  

SELL     | STOCK915   |     10 | $191.93  

SELL     | STOCK183   |     50 | $144.51  

SELL     | STOCK872   |     40 | $128.01  

SELL     | STOCK352   |     10 | $165.06  

BUY      | STOCK886   |     80 | $118.62  

BUY      | STOCK956   |     70 | $154.77  

BUY      | STOCK975   |     30 | $124.46  

BUY      | STOCK509   |     60 | $136.39  

SELL     | STOCK216   |     20 | $146.07  

BUY      | STOCK945   |     60 | $199.28  

BUY      | STOCK960   |    100 | $113.69  

SELL     | STOCK64    |     90 | $193.95  

BUY      | STOCK689   |     80 | $198.31  

SELL     | STOCK788   |     70 | $188.10  

BUY      | STOCK154   |     80 | $105.74  

BUY      | STOCK798   |     50 | $173.64  

SELL     | STOCK771   |     20 | $165.61  

BUY      | STOCK175   |     90 | $179.19  

SELL     | STOCK119   |     80 | $178.60  

SELL     | STOCK197   |     20 | $131.04  

SELL     | STOCK809   |     80 | $109.98  

SELL     | STOCK843   |     40 | $122.08  

BUY      | STOCK961   |     60 | $184.04  

BUY      | STOCK19    |     50 | $107.99  

SELL     | STOCK204   |     30 | $135.25  

TRADE    | STOCK204   |     30 | $135.25   | Buy: 50 | Sell: 0

BUY      | STOCK766   |     70 | $104.35  

BUY      | STOCK620   |     80 | $149.10  

SELL     | STOCK354   |     20 | $118.94  

BUY      | STOCK627   |     90 | $193.17  

BUY      | STOCK651   |     30 | $120.02  

BUY      | STOCK306   |     50 | $109.62  

BUY      | STOCK693   |     20 | $120.57  

BUY      | STOCK956   |     60 | $151.20  

SELL     | STOCK780   |     60 | $197.76  

SELL     | STOCK845   |     20 | $177.82  

SELL     | STOCK722   |     90 | $170.47  

SELL     | STOCK718   |     90 | $199.92  

BUY      | STOCK41    |     90 | $118.25  

BUY      | STOCK529   |     60 | $107.78  

BUY      | STOCK32    |    100 | $145.47  

SELL     | STOCK862   |    100 | $120.66  

BUY      | STOCK701   |     20 | $113.00  

SELL     | STOCK430   |     70 | $182.08  

SELL     | STOCK829   |     50 | $176.54  

BUY      | STOCK12    |    100 | $146.75  

SELL     | STOCK901   |     70 | $171.57  

BUY      | STOCK268   |    100 | $198.59  

SELL     | STOCK616   |     70 | $165.40  

BUY      | STOCK522   |     50 | $158.91  

BUY      | STOCK712   |     30 | $191.18  

BUY      | STOCK581   |     40 | $189.29  

SELL     | STOCK433   |     10 | $178.44  

BUY      | STOCK364   |    100 | $187.15  

BUY      | STOCK371   |     80 | $181.06  

BUY      | STOCK461   |     50 | $152.90  

BUY      | STOCK178   |     20 | $165.21  

SELL     | STOCK342   |     30 | $192.92  

SELL     | STOCK831   |     80 | $184.47  

BUY      | STOCK904   |    100 | $129.31  

SELL     | STOCK343   |     80 | $122.94  

SELL     | STOCK857   |     40 | $104.82  

BUY      | STOCK166   |     60 | $103.81  

SELL     | STOCK863   |     50 | $187.53  

SELL     | STOCK921   |     10 | $124.35  

SELL     | STOCK283   |     70 | $105.63  

BUY      | STOCK603   |     20 | $108.15  

BUY      | STOCK506   |     10 | $139.28  

SELL     | STOCK189   |     30 | $143.48  

BUY      | STOCK23    |     50 | $195.59  

SELL     | STOCK739   |    100 | $169.11  

BUY      | STOCK545   |     40 | $127.18  

SELL     | STOCK176   |     30 | $154.02  

BUY      | STOCK277   |     30 | $179.62  

BUY      | STOCK424   |     60 | $108.41  

BUY      | STOCK67    |     20 | $170.98  

SELL     | STOCK647   |     50 | $135.98  

BUY      | STOCK434   |     10 | $196.44  

SELL     | STOCK368   |     30 | $150.87  

SELL     | STOCK482   |     50 | $112.04  

SELL     | STOCK257   |     60 | $109.84  

BUY      | STOCK535   |     10 | $124.42  

SELL     | STOCK686   |     10 | $157.93  

SELL     | STOCK886   |     90 | $115.88  

TRADE    | STOCK886   |     80 | $115.88   | Buy: 0 | Sell: 10

BUY      | STOCK502   |     50 | $122.43  

SELL     | STOCK870   |     90 | $162.62  

BUY      | STOCK120   |     10 | $170.66  

SELL     | STOCK914   |     60 | $146.36  

SELL     | STOCK874   |     40 | $136.02  

BUY      | STOCK202   |    100 | $196.31  

BUY      | STOCK301   |     70 | $116.43  

TRADE    | STOCK301   |     30 | $103.92   | Buy: 40 | Sell: 0

SELL     | STOCK156   |     20 | $188.44  

SELL     | STOCK654   |     30 | $120.75  

SELL     | STOCK378   |    100 | $113.63  

BUY      | STOCK496   |     70 | $131.22  

BUY      | STOCK1023  |     30 | $137.79  

BUY      | STOCK171   |     10 | $121.72  

BUY      | STOCK248   |     90 | $144.57  

SELL     | STOCK538   |     70 | $118.19  

SELL     | STOCK474   |     30 | $132.50  

BUY      | STOCK834   |     40 | $164.23  

BUY      | STOCK255   |     50 | $144.55  

TRADE    | STOCK255   |     50 | $103.32   | Buy: 0 | Sell: 30

SELL     | STOCK423   |     50 | $104.87  

BUY      | STOCK48    |     60 | $143.52  

SELL     | STOCK6     |     80 | $175.71  

BUY      | STOCK353   |     60 | $143.27  

SELL     | STOCK861   |     70 | $173.78  

SELL     | STOCK611   |     30 | $141.25  

SELL     | STOCK643   |     10 | $138.96  

BUY      | STOCK495   |     90 | $124.23  

BUY      | STOCK260   |     40 | $126.53  

BUY      | STOCK319   |    100 | $187.63  

SELL     | STOCK76    |     80 | $149.83  

BUY      | STOCK268   |     60 | $192.48  

SELL     | STOCK390   |     20 | $197.99  

BUY      | STOCK370   |     90 | $105.95  

SELL     | STOCK385   |     70 | $132.48  

SELL     | STOCK824   |     30 | $126.77  

SELL     | STOCK561   |     30 | $165.84  

BUY      | STOCK191   |     20 | $180.39  

TRADE    | STOCK191   |     20 | $151.56   | Buy: 0 | Sell: 0

BUY      | STOCK567   |     70 | $167.51  

SELL     | STOCK32    |     60 | $197.93  

SELL     | STOCK390   |    100 | $101.13  

TRADE    | STOCK390   |     80 | $101.13   | Buy: 0 | Sell: 20

SELL     | STOCK396   |     20 | $133.62  

BUY      | STOCK530   |     90 | $112.21  

BUY      | STOCK285   |    100 | $167.89  

BUY      | STOCK813   |     30 | $178.17  

BUY      | STOCK170   |     20 | $124.62  

SELL     | STOCK483   |     10 | $137.88  

TRADE    | STOCK483   |     10 | $137.88   | Buy: 90 | Sell: 0

SELL     | STOCK814   |     50 | $163.14  

SELL     | STOCK398   |     60 | $105.82  

SELL     | STOCK579   |     30 | $198.90  

BUY      | STOCK891   |     80 | $176.84  

SELL     | STOCK878   |     10 | $142.56  

BUY      | STOCK637   |     20 | $158.98  

SELL     | STOCK202   |     60 | $110.65  

TRADE    | STOCK202   |     60 | $110.65   | Buy: 40 | Sell: 0

BUY      | STOCK590   |     60 | $161.52  

BUY      | STOCK252   |     90 | $152.96  

SELL     | STOCK299   |     30 | $176.35  

SELL     | STOCK949   |     40 | $120.41  

SELL     | STOCK917   |     20 | $149.08  

BUY      | STOCK536   |    100 | $185.38  

BUY      | STOCK0     |     80 | $151.19  

SELL     | STOCK861   |     50 | $152.83  

BUY      | STOCK691   |     60 | $158.66  

BUY      | STOCK952   |     30 | $112.42  

SELL     | STOCK452   |     40 | $172.72  

SELL     | STOCK11    |     90 | $176.79  

SELL     | STOCK666   |     40 | $103.28  

TRADE    | STOCK666   |     40 | $103.28   | Buy: 30 | Sell: 0

SELL     | STOCK906   |     40 | $100.28  

BUY      | STOCK403   |     30 | $180.18  

TRADE    | STOCK403   |     20 | $121.78   | Buy: 10 | Sell: 0

BUY      | STOCK949   |     40 | $145.14  

TRADE    | STOCK949   |     40 | $120.41   | Buy: 0 | Sell: 0

BUY      | STOCK670   |     20 | $175.66  

SELL     | STOCK930   |     70 | $150.15  

BUY      | STOCK395   |     10 | $166.47  

SELL     | STOCK34    |     80 | $102.55  

BUY      | STOCK246   |     40 | $146.00  

SELL     | STOCK347   |     30 | $130.97  

BUY      | STOCK31    |     40 | $116.00  

BUY      | STOCK650   |     70 | $138.72  

BUY      | STOCK661   |     90 | $150.64  

BUY      | STOCK543   |     30 | $119.95  

SELL     | STOCK7     |     60 | $180.46  

BUY      | STOCK437   |     10 | $129.25  

SELL     | STOCK898   |     70 | $193.17  

BUY      | STOCK199   |     50 | $168.59  

BUY      | STOCK672   |     70 | $187.42  

BUY      | STOCK187   |     30 | $169.06  

BUY      | STOCK50    |     10 | $144.16  

BUY      | STOCK304   |     40 | $159.93  

SELL     | STOCK69    |     10 | $139.61  

SELL     | STOCK552   |     20 | $161.87  

SELL     | STOCK882   |     90 | $112.00  

BUY      | STOCK355   |     40 | $118.12  

BUY      | STOCK465   |     50 | $197.49  

BUY      | STOCK571   |     60 | $185.55  

BUY      | STOCK401   |    100 | $165.76  

BUY      | STOCK78    |     40 | $172.80  

BUY      | STOCK486   |     30 | $144.81  

BUY      | STOCK580   |     90 | $105.92  

SELL     | STOCK114   |     50 | $121.11  

TRADE    | STOCK114   |     50 | $121.11   | Buy: 50 | Sell: 0

BUY      | STOCK415   |     40 | $169.99  

BUY      | STOCK19    |     90 | $115.01  

SELL     | STOCK998   |     40 | $161.12  

BUY      | STOCK219   |     10 | $152.28  

SELL     | STOCK166   |     90 | $156.61  

BUY      | STOCK771   |     80 | $107.07  

BUY      | STOCK19    |     30 | $185.40  

BUY      | STOCK36    |     90 | $167.22  

BUY      | STOCK378   |     50 | $148.34  

TRADE    | STOCK378   |     50 | $113.63   | Buy: 0 | Sell: 50

SELL     | STOCK550   |     60 | $141.85  

BUY      | STOCK1020  |     80 | $184.75  

SELL     | STOCK478   |     30 | $178.69  

SELL     | STOCK940   |    100 | $119.78  

SELL     | STOCK546   |     40 | $103.94  

BUY      | STOCK297   |     70 | $116.74  

SELL     | STOCK899   |     20 | $121.70  

SELL     | STOCK245   |     50 | $132.53  

SELL     | STOCK596   |     60 | $180.39  

SELL     | STOCK503   |     20 | $164.57  

SELL     | STOCK139   |     60 | $107.49  

BUY      | STOCK10    |     20 | $139.34  

BUY      | STOCK69    |    100 | $145.50  

TRADE    | STOCK69    |     10 | $139.61   | Buy: 90 | Sell: 0

SELL     | STOCK122   |    100 | $129.19  

SELL     | STOCK876   |     90 | $165.39  

SELL     | STOCK185   |     80 | $173.22  

SELL     | STOCK178   |    100 | $150.91  

TRADE    | STOCK178   |     20 | $150.91   | Buy: 0 | Sell: 80

BUY      | STOCK898   |     80 | $194.23  

TRADE    | STOCK898   |     70 | $193.17   | Buy: 10 | Sell: 0

BUY      | STOCK35    |     20 | $107.34  

SELL     | STOCK476   |     50 | $146.56  

SELL     | STOCK56    |     60 | $161.79  

BUY      | STOCK26    |     70 | $146.67  

SELL     | STOCK693   |     80 | $155.08  

BUY      | STOCK110   |     30 | $149.70  

BUY      | STOCK2     |     40 | $133.51  

SELL     | STOCK323   |    100 | $160.34  

BUY      | STOCK14    |     80 | $196.90  

SELL     | STOCK65    |     80 | $148.73  

BUY      | STOCK311   |     50 | $149.04  

SELL     | STOCK8     |     50 | $171.48  

TRADE    | STOCK8     |     50 | $171.48   | Buy: 10 | Sell: 0

BUY      | STOCK297   |     90 | $189.94  

BUY      | STOCK830   |    100 | $139.73  

BUY      | STOCK991   |     60 | $134.05  

SELL     | STOCK830   |     20 | $193.67  

BUY      | STOCK24    |     90 | $194.72  

TRADE    | STOCK24    |     40 | $142.37   | Buy: 50 | Sell: 0

SELL     | STOCK814   |     10 | $121.33  

SELL     | STOCK8     |     70 | $136.59  

TRADE    | STOCK8     |     10 | $136.59   | Buy: 0 | Sell: 60

TRADE    | STOCK8     |     10 | $136.59   | Buy: 0 | Sell: 50

SELL     | STOCK82    |     90 | $134.94  

SELL     | STOCK975   |    100 | $121.29  

TRADE    | STOCK975   |     30 | $121.29   | Buy: 0 | Sell: 70

SELL     | STOCK2     |     80 | $198.57  

SELL     | STOCK463   |     40 | $198.84  

BUY      | STOCK388   |     40 | $191.94  

BUY      | STOCK781   |     10 | $180.99  

SELL     | STOCK406   |     90 | $129.23  

SELL     | STOCK676   |    100 | $161.71  

SELL     | STOCK447   |    100 | $105.40  

BUY      | STOCK962   |     60 | $174.10  

SELL     | STOCK914   |     90 | $168.63  

SELL     | STOCK971   |     20 | $127.70  

SELL     | STOCK749   |     70 | $166.72  

BUY      | STOCK887   |     80 | $102.11  

BUY      | STOCK195   |    100 | $161.31  

BUY      | STOCK910   |     10 | $164.48  

SELL     | STOCK330   |     80 | $168.64  

BUY      | STOCK536   |     20 | $173.49  

SELL     | STOCK186   |     50 | $166.08  

BUY      | STOCK1004  |     80 | $159.86  

SELL     | STOCK158   |     40 | $192.47  

BUY      | STOCK876   |     10 | $173.77  

TRADE    | STOCK876   |     10 | $165.39   | Buy: 0 | Sell: 80

SELL     | STOCK767   |     70 | $187.14  

SELL     | STOCK754   |     50 | $139.71  

BUY      | STOCK931   |    100 | $121.08  

SELL     | STOCK10    |     80 | $194.75  

SELL     | STOCK583   |    100 | $116.18  

SELL     | STOCK452   |     40 | $132.45  

BUY      | STOCK530   |     20 | $160.19  

SELL     | STOCK321   |     50 | $163.61  

BUY      | STOCK106   |    100 | $169.90  

SELL     | STOCK170   |     30 | $108.13  

TRADE    | STOCK170   |     30 | $108.13   | Buy: 60 | Sell: 0

BUY      | STOCK743   |     80 | $140.88  

BUY      | STOCK994   |     30 | $180.00  

SELL     | STOCK174   |     80 | $133.55  

SELL     | STOCK782   |     90 | $136.18  

SELL     | STOCK603   |     40 | $163.53  

BUY      | STOCK1018  |     30 | $159.15  

SELL     | STOCK527   |     70 | $194.43  

SELL     | STOCK830   |     50 | $193.91  

BUY      | STOCK487   |    100 | $127.25  

BUY      | STOCK1007  |     30 | $190.13  

SELL     | STOCK458   |     80 | $169.00  

BUY      | STOCK591   |     50 | $117.68  

BUY      | STOCK109   |     10 | $170.16  

BUY      | STOCK858   |     80 | $151.94  

BUY      | STOCK43    |     50 | $194.50  

BUY      | STOCK261   |    100 | $120.53  

BUY      | STOCK280   |     40 | $123.28  

BUY      | STOCK487   |     20 | $185.13  

TRADE    | STOCK487   |     20 | $149.44   | Buy: 0 | Sell: 40

BUY      | STOCK552   |     30 | $169.43  

TRADE    | STOCK552   |     20 | $161.87   | Buy: 10 | Sell: 0

BUY      | STOCK763   |     50 | $103.30  

BUY      | STOCK276   |     50 | $156.00  

SELL     | STOCK112   |     60 | $193.74  

SELL     | STOCK413   |     70 | $188.15  

BUY      | STOCK384   |     60 | $162.37  

SELL     | STOCK645   |     50 | $162.25  

SELL     | STOCK524   |     90 | $151.34  

SELL     | STOCK100   |     70 | $122.15  

BUY      | STOCK968   |     80 | $143.83  

